Poll ID;Poll Type;Poll Question;Description;Poll Option;Count;Total Votes;Results;Survey Name
25981866;Survey;Nom du cabinet de votre expert comptable;;FIDSUD CDBA;1;8;;Hosmony-client
25981866;Survey;Nom du cabinet de votre expert comptable;;C mon expert;2;8;;Hosmony-client
25981866;Survey;Nom du cabinet de votre expert comptable;;Cimon expert;1;8;;Hosmony-client
25981866;Survey;Nom du cabinet de votre expert comptable;;Cmonexpert ;4;8;;Hosmony-client
25981867;Survey;N°Siret;;342 626 918 00045;1;8;;Hosmony-client
25981867;Survey;N°Siret;;401242805;6;8;;Hosmony-client
25981867;Survey;N°Siret;;401202845;1;8;;Hosmony-client
25981868;Survey;1/ Dans quel pays résidez-vous ?;;France;8;8;;Hosmony-client
25981868;Survey;1/ Dans quel pays résidez-vous ?;;Autre;0;8;;Hosmony-client
25981869;Survey;2/ Dans quelle région résidez-vous ?;;Occitanie;8;8;;Hosmony-client
25981869;Survey;2/ Dans quelle région résidez-vous ?;;PACA;0;8;;Hosmony-client
25981869;Survey;2/ Dans quelle région résidez-vous ?;;Nouvelle Aquitaine;0;8;;Hosmony-client
